Tourist Attraction,Restaurant Name,Restaurant Link,Address,Restaurant Website,Hotline,Email,Ranking,Opening and Closing hours,Rating,Food Rating,Service Rating,Value Rating,Atmosphere Rating,Reviewers,Description,Min Price,Max Price,Cuisines,Meal,Special Diets,Features,Image URL
Hải Phòng,Nah Thai Bistro,https://www.tripadvisor.com/Restaurant_Review-g737051-d27916971-Reviews-Nah_Thai_Bistro-Cat_Ba_Hai_Phong.html,"Số 239, Đường Một Tháng Tư Cát Bà, Cát Hải, Hải Phòng, Hai Phong, Cat Ba 05406 Vietnam",nan,0355158388,nahthaibistrorestaurant@gmail.com,#23 of 67 Restaurants in Cat Ba,"Sun: 8:00 AM - 11:00 PM, Mon: 8:00 AM - 11:00 PM, Tue: 8:00 AM - 11:00 PM, Wed: 8:00 AM - 11:00 PM, Thu: 8:00 AM - 11:00 PM, Fri: 8:00 AM - 11:00 PM, Sat: 8:00 AM - 11:00 PM",5.0,4.8,4.7,4.7,4.8,25 reviews,"Ẩm thực Thái Lan kết hợp hải sản địa phương tại 𝐍𝐚𝐡 𝐓𝐡𝐚𝐢 𝐁𝐢𝐬𝐭𝐫𝐨. Menu đa dạng với các món beseller như tháp sườn, pad thái, gỏi tôm... Hotline: 0355 158 388",3.0,20.0,nan,"Breakfast, Lunch, Dinner",nan,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Dog Friendly, Non-smoking restaurants",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7c/42/ad/indoor-space.jpg?w=900&h=500&s=1
Hải Phòng,TexRock Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g303944-d18314369-Reviews-TexRock_Steakhouse-Hai_Phong.html,"178 Van Cao, Hai Phong 180000 Vietnam",nan,+84 225 3261 969,info@3ae.vn,#20 of 257 Restaurants in Hai Phong,"Sun: 10:00 AM - 10:30 PM, Mon: 10:00 AM - 10:30 PM, Tue: 10:00 AM - 10:30 PM, Wed: 10:00 AM - 10:30 PM, Thu: 10:00 AM - 10:30 PM, Fri: 10:00 AM - 10:30 PM, Sat: 10:00 AM - 10:30 PM",5.0,5.0,5.0,5.0,nan,40 reviews,nan,3.0,36.0,nan,"Lunch, Dinner, Brunch, Drinks",nan,"Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/e3/36/66/texrock-steakhouse-a.jpg?w=900&h=500&s=1
Hải Phòng,Lệ Cát Bà Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d25347754-Reviews-L_Cat_Ba_Restaurant-Cat_Ba_Hai_Phong.html,"198 đường 1/4, Hai Phong, Cat Ba 187300 Vietnam",nan,+84 98 388 77 97,daothiletvbh11@gmail.com,#9 of 67 Restaurants in Cat Ba,"Sun: 12:00 AM - 11:59 PM, Mon: 12:00 AM - 11:59 PM, Tue: 12:00 AM - 11:59 PM, Wed: 12:00 AM - 11:59 PM, Thu: 12:00 AM - 11:59 PM, Fri: 12:00 AM - 11:59 PM, Sat: 12:00 AM - 11:59 PM",5.0,5.0,5.0,4.9,4.9,57 reviews,nan,nan,nan,nan,"Breakfast, Lunch, Dinner, Drinks",nan,"Reservations, Seating, Serves Alcohol, Table Service",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/d7/e4/bb/caption.jpg?w=900&h=500&s=1
Hải Phòng,The Bigman Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g737051-d15641621-Reviews-The_Bigman_Restaurant_Bar-Cat_Ba_Hai_Phong.html,"So 222, Duong 1/4, Hai Phong, Cat Ba 180000 Vietnam",nan,+84 91 600 93 66,vanmanhhp19799@gamail.com,#7 of 67 Restaurants in Cat Ba,"Sun: 6:30 AM - 12:00 AM, Mon: 6:30 AM - 12:00 AM, Tue: 6:30 AM - 12:00 AM, Wed: 6:30 AM - 12:00 AM, Thu: 6:30 AM - 12:00 AM, Fri: 6:30 AM - 12:00 AM, Sat: 6:30 AM - 12:00 AM",4.5,4.6,4.7,4.5,4.9,247 reviews,"Located at the best location of Cat Ba town with amazing seaview, The Bigman Restaurant provide finest cuisine from Local Specials to Western food & Happy time in the BigMan bar",2.0,10.0,nan,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",nan,"Delivery, Outdoor Seating, Seating, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/a2/9d/3b/the-bigman-restaurant.jpg?w=900&h=-1&s=1
Hải Phòng,Flame Grill & Bar,https://www.tripadvisor.com/Restaurant_Review-g303944-d15603528-Reviews-Flame_Grill_Bar-Hai_Phong.html,"12 Lach Tray Ngo Quyen District, Hai Phong 180000 Vietnam",nan,+84 225 3240 999,H9183@accor.com,#22 of 257 Restaurants in Hai Phong,"Sun: 6:00 AM - 10:00 PM, Mon: 6:00 AM - 10:00 PM, Tue: 6:00 AM - 10:00 PM, Wed: 6:00 AM - 10:00 PM, Thu: 6:00 AM - 10:00 PM, Fri: 6:00 AM - 10:00 PM, Sat: 6:00 AM - 10:00 PM",4.5,nan,nan,nan,nan,66 reviews,"Flame restaurant gets its name from the iconic flower of Hai Phong city, along with the flame-grilled meat that featured prominently on the menu. Flame offers a large selection of flame-grilled meat and seafood in a buffet or a la carte setting. This multi-purpose restaurant offers the finest international cuisines alongside Vietnamese specialties, Korean barbecue, Japanese dishes or Western favourites.",nan,nan,nan,"Breakfast, Lunch, Dinner, Drinks",Vegetarian friendly,"Delivery, Reservations, Buffet, Private Dining, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Playgrounds",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f8/40/37/international-buffet.jpg?w=900&h=500&s=1
Hải Phòng,Cat Ba Oasis Bungalow and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d13873556-Reviews-Cat_Ba_Oasis_Bungalow_and_Restaurant-Cat_Ba_Hai_Phong.html,"254 Street 1/4, Hai Phong, Cat Ba 180000 Vietnam",nan,+84 97 458 05 85,info@oasiscatba.com,#5 of 67 Restaurants in Cat Ba,"Sun: 7:00 AM - 11:45 PM, Mon: 7:00 AM - 11:45 PM, Tue: 7:00 AM - 11:45 PM, Wed: 7:00 AM - 11:45 PM, Thu: 7:00 AM - 11:45 PM, Fri: 7:00 AM - 11:45 PM, Sat: 7:00 AM - 11:45 PM",5.0,nan,nan,nan,nan,820 reviews,"As its stated name, we are offering guests with variety of choices including accommodation, western food and Vietnamese food menu and a lot of cocktails, mocktail, coffee, fruit juice and smoothies and so on. Located in the center of Cat Ba Town, it features with separated cottage bungalow of 32 rooms, a swimming pool in a very spacious green area. With many years experienced and friendly team, we do hope to provide guests with better services when you come to drink, to eat and to stay. We are hornor to welcome you all and trying to make your stay comfortable and relaxing.",nan,nan,nan,"Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Street Parking, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e9/79/bc/pool.jpg?w=900&h=500&s=1
Hải Phòng,Manoir Cafe,https://www.tripadvisor.com/Restaurant_Review-g303944-d23432221-Reviews-Manoir_Cafe-Hai_Phong.html,"16 Lê Đại Hành, Hai Phong 180000 Vietnam",nan,+84 225 8831 522,info@manoirdesartshotel.com,#4 of 257 Restaurants in Hai Phong,"Sun: 6:30 AM - 10:30 PM, Mon: 6:30 AM - 10:30 PM, Tue: 6:30 AM - 10:30 PM, Wed: 6:30 AM - 10:30 PM, Thu: 6:30 AM - 10:30 PM, Fri: 6:30 AM - 10:30 PM, Sat: 6:30 AM - 10:30 PM",5.0,4.9,5.0,4.9,5.0,94 reviews,Manoir Cafe is home to a wide range of flowers and foliage. The outdoor seating area is an ideal place to unwind after a busy working day in the office. Garden Manoir Cafe is the setting to enjoy our organized outdoor activities as night music or barbecued parties. The place where you can delight in our breath-taking scenery.,nan,nan,nan,"Breakfast, Lunch, Dinner",nan,"Reservations, Outdoor Seating, Buffet, Valet Parking, Free Wifi, Accepts Credit Cards, Live Music",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1b/77/86/countdown-party.jpg?w=900&h=500&s=1
Hải Phòng,Nam Phuong Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d4209866-Reviews-Nam_Phuong_Restaurant-Hai_Phong.html,"Avani Hai Phong Harbour View Hotel 12 Tran Phu Street, Hai Phong 35000 Vietnam",nan,+84 31 3827 827,haiphong@avanihotels.com,#32 of 257 Restaurants in Hai Phong,"Sun: 6:00 PM - 9:00 PM, Mon: 6:00 PM - 9:00 PM, Tue: 6:00 PM - 9:00 PM, Wed: 6:00 PM - 9:00 PM, Thu: 6:00 PM - 9:00 PM, Fri: 6:00 PM - 9:00 PM, Sat: 6:00 PM - 9:00 PM",4.5,4.8,4.8,4.6,5.0,62 reviews,"Nam Phuong Restaurant is a showcasing classic Vietnamese cuisines from all parts of the country. Additionally we feature famous dishes from our Southeast Asian neighbors: Thailand, Malaysia and Indonesia and others",3.0,20.0,nan,"Lunch, Dinner, Brunch","Vegetarian friendly, Vegan options","Takeout, Reservations, Buffet, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Table Service",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/86/7a/ca/photo0jpg.jpg?w=900&h=500&s=1
Hải Phòng,Rooftop Hill Pub And Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d27689149-Reviews-Rooftop_Hill_Pub_And_Restaurant-Cat_Ba_Hai_Phong.html,"No 43, 1/4 Street Cat Ba Town, Hai Phong, Cat Ba 187300 Vietnam",nan,+84364198889,springgarden.catbaxanhhotel@gmail.com,#1 of 3 Bars & Pubs in Cat Ba,"Sun: 11:00 AM - 11:30 PM, Mon: 11:00 AM - 11:30 PM, Tue: 10:00 AM - 11:30 PM, Wed: 11:00 AM - 11:30 PM, Thu: 11:00 AM - 11:30 PM, Fri: 11:00 AM - 11:30 PM, Sat: 11:00 AM - 11:30 PM",5.0,5.0,5.0,5.0,5.0,30 reviews,"We’re incredibly proud of our Vietnamese heritage, and proper pub food. With pub classics at the heart of our menus, we’re known across Cat Ba Island and famous for our local dishes and seafood",1.0,0.0,nan,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",nan,"Delivery, Reservations, Street Parking, Free off-street parking, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Family style, Gift Cards Available",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/6c/84/56/our-guests-having-fun.jpg?w=900&h=500&s=1
Hải Phòng,Ganesh Indian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d19175081-Reviews-Ganesh_Indian_Restaurant-Cat_Ba_Hai_Phong.html,"171 Street 1/4, Hai Phong, Cat Ba 180000 Vietnam",nan,+84 225 8830 155,ganeshcatba@gmail.com,#10 of 67 Restaurants in Cat Ba,"Sun: 10:00 AM - 10:30 PM, Mon: 10:00 AM - 10:30 PM, Tue: 10:00 AM - 10:30 PM, Wed: 10:00 AM - 10:30 PM, Thu: 10:00 AM - 10:30 PM, Fri: 10:00 AM - 10:30 PM, Sat: 10:00 AM - 10:30 PM",5.0,4.6,3.9,4.2,nan,108 reviews,"the first time come in cat ba island. Incredible variety of food, good vegetarian options!",2.0,9.0,nan,"Lunch, Dinner, Brunch, Late Night, Drinks","Vegetarian friendly, Vegan options","Delivery, Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Street Parking, Valet Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Beach, Family style, Non-smoking restaurants",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/c3/8f/11/so-great-opening-party.jpg?w=900&h=500&s=1
